a52dec 0.7.4-11
aalib 1.4rc5-14
accounts-qml-module 0.7-4
accountsservice 22.08.8-2
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alsa-card-profiles 1:0.3.58-1
alsa-lib 1.2.7.2-1
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.2-1
alsa-utils 1.2.7-1
amdvlk 2022.Q3.4-1
ani-cli 3.4-1
aom 3.5.0-1
appimagelauncher 2.2.0-6
appstream 0.15.5-1
appstream-qt 0.15.5-1
archlinux-appstream-data 20220830-1
archlinux-keyring 20220831-1
argon2 20190702-4
ark 22.08.1-1
asciidoc 10.2.0-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atkmm 2.28.3-1
attica 5.98.0-1
attr 2.5.1-2
audit 3.0.8-1
auto-cpufreq 1.9.6-1
autoconf 2.71-1
autojump 22.5.3-9
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
awesome-terminal-fonts 1.1.0-4
axel 2.17.11-1
babl 0.1.96-1
base 3-1
bash 5.1.016-1
bash-completion 2.11-3
bc 1.07.1-4
bind 9.18.7-1
binutils 2.39-3
bison 3.8.2-4
blas 3.10.1-1
bluedevil 1:5.25.5-1
bluez 5.65-3
bluez-libs 5.65-3
bluez-qt 5.98.0-1
bluez-utils 5.65-3
boost 1.80.0-2
boost-libs 1.80.0-2
brave-bin 1:1.43.93-1
breeze 5.25.5-1
breeze-gtk 5.25.5-1
breeze-icons 5.98.0-1
bridge-utils 1.7.1-1
brightnessctl 0.5.1-2
brotli 1.0.9-8
btrfs-progs 5.19.1-1
bubblewrap 0.6.2-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.83-1
ca-certificates-utils 20220905-1
cabextract 1.9.1-2
cairo 1.17.6-2
cairo-perl 1.109-2
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
capstone 4.0.2-6
cblas 3.10.1-1
cdparanoia 10.2-8
cifs-utils 7.0-1
cmake 3.24.2-1
cmatrix 2.0-2
code 1.71.2-1
coreutils 9.1-1
cpio 2.13-2
cronie 1.6.1-1
cryptsetup 2.5.0-1
cups 1:2.4.2-3
cups-filters 1.28.16-2
curl 7.85.0-2
cython 0.29.32-2
dav1d 1.0.0-1
db 5.3.28-5
dbus 1.14.0-1
